Type command to execute:
1. Send data (s)
2. Receive data (r)
Command: FFT 511 = 256197, freq = 22006
FFT 493 = 289838, freq = 21231
FFT 492 = 305095, freq = 21188
FFT 342 = 337073, freq = 14728
FFT 341 = 343995, freq = 14685
FFT 331 = 378264, freq = 14254
FFT 511 = 34751, freq = 22006
FFT 510 = 46681.4, freq = 21963
FFT 509 = 111143, freq = 21920
FFT 498 = 126477, freq = 21447
FFT 511 = 35618, freq = 22006
FFT 510 = 41608.2, freq = 21963
FFT 509 = 44739.7, freq = 21920
FFT 508 = 47890.9, freq = 21877
FFT 507 = 67007.2, freq = 21834
FFT 498 = 67734, freq = 21447
FFT 495 = 72436.6, freq = 21317
FFT 492 = 84494.3, freq = 21188
FFT 490 = 113204, freq = 21102
FFT 511 = 59584, freq = 22006
FFT 510 = 74817.1, freq = 21963
FFT 504 = 119906, freq = 21705
FFT 503 = 144168, freq = 21662
FFT 497 = 178851, freq = 21404
FFT 474 = 210366, freq = 20413
FFT 458 = 211814, freq = 19724
FFT 372 = 216153, freq = 16020
FFT 371 = 283489, freq = 15977
FFT 511 = 84002.7, freq = 22006
FFT 510 = 218521, freq = 21963
FFT 509 = 234389, freq = 21920
FFT 502 = 242165, freq = 21619
FFT 468 = 253475, freq = 20155
FFT 342 = 313964, freq = 14728
FFT 511 = 25672.4, freq = 22006
FFT 510 = 165058, freq = 21963
FFT 492 = 166816, freq = 21188
FFT 485 = 210324, freq = 20887
FFT 457 = 223096, freq = 19681
FFT 380 = 236483, freq = 16365
FFT 366 = 328979, freq = 15762
FFT 511 = 29082.7, freq = 22006
FFT 510 = 50926.4, freq = 21963
FFT 508 = 57362.1, freq = 21877
FFT 502 = 58144.8, freq = 21619
FFT 489 = 68801.5, freq = 21059
FFT 487 = 81655.3, freq = 20973
FFT 473 = 99595.1, freq = 20370
FFT 460 = 138455, freq = 19810
FFT 511 = 44358.7, freq = 22006
FFT 510 = 86853.4, freq = 21963
FFT 507 = 98993.6, freq = 21834
FFT 474 = 104601, freq = 20413
FFT 460 = 110108, freq = 19810
FFT 511 = 90721.3, freq = 22006
FFT 505 = 96258.3, freq = 21748
FFT 487 = 99776.7, freq = 20973
FFT 470 = 114089, freq = 20241
FFT 464 = 127792, freq = 19982
FFT 511 = 54768.4, freq = 22006
FFT 510 = 95062.6, freq = 21963
FFT 489 = 108404, freq = 21059
Data: 000
FFT 511 = 12965.3, freq = 22006
FFT 510 = 43650.8, freq = 21963
FFT 508 = 85514.6, freq = 21877
FFT 500 = 99261.2, freq = 21533
